geo_type,name,alternative_name,region,country,date,driving,walking,transit
sub-region,Molise Region,Molise,<undefined>,Italy,2021-04-02,67.83,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-04-03,40.46,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-04-04,39.05,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-04-05,57.82,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-04-06,84.2,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-04-07,73.93,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-04-08,79.09,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-04-09,74.4,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-04-10,67.99,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-04-11,64.13,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-04-12,79.2,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-04-13,80.5,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-04-14,78.62,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-04-15,81.39,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-04-16,82.69,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-04-17,66.74,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-04-18,65.48,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-04-19,80.45,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-04-20,88.53,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-04-21,81.28,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-04-22,81.49,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-04-23,82.38,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-04-24,72.78,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-04-25,74.24,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-04-26,88.43,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-04-27,93.12,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-04-28,96.35,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-04-29,97.45,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-04-30,116.06,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-05-01,129.82,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-05-02,147.08,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-05-03,100.52,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-05-04,90.3,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-05-05,101.04,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-05-06,105.74,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-05-07,105.42,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-05-08,108.34,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-05-09,130.45,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-05-10,112.25,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-05-11,107.25,<undefined>,<undefined>
sub-region,Molise Region,Molise,<undefined>,Italy,2021-05-12,110.79,<undefined>,<undefined>
