geo_type,name,alternative_name,region,country,date,driving,walking
city,Catania,<undefined>,Sicily Region,Italy,2021-06-01,115.72,116.2
city,Catania,<undefined>,Sicily Region,Italy,2021-06-02,127.49,97.77
city,Catania,<undefined>,Sicily Region,Italy,2021-06-03,125.42,117.57
city,Catania,<undefined>,Sicily Region,Italy,2021-06-04,126.39,124.76
city,Catania,<undefined>,Sicily Region,Italy,2021-06-05,131.21,136.52
city,Catania,<undefined>,Sicily Region,Italy,2021-06-06,127.17,103.5
city,Catania,<undefined>,Sicily Region,Italy,2021-06-07,120.91,106.55
city,Catania,<undefined>,Sicily Region,Italy,2021-06-08,126.76,114.82
city,Catania,<undefined>,Sicily Region,Italy,2021-06-09,131.71,133.88
city,Catania,<undefined>,Sicily Region,Italy,2021-06-10,136.51,141.59
city,Catania,<undefined>,Sicily Region,Italy,2021-06-11,137.46,141.55
city,Catania,<undefined>,Sicily Region,Italy,2021-06-12,135.01,149.96
city,Catania,<undefined>,Sicily Region,Italy,2021-06-13,147.61,116.72
city,Catania,<undefined>,Sicily Region,Italy,2021-06-14,138.79,122.04
city,Catania,<undefined>,Sicily Region,Italy,2021-06-15,134.42,119.17
city,Catania,<undefined>,Sicily Region,Italy,2021-06-16,138.12,121.3
city,Catania,<undefined>,Sicily Region,Italy,2021-06-17,138.41,123.34
city,Catania,<undefined>,Sicily Region,Italy,2021-06-18,138.78,136.11
city,Catania,<undefined>,Sicily Region,Italy,2021-06-19,144.61,145.53
city,Catania,<undefined>,Sicily Region,Italy,2021-06-20,138.61,114.45
city,Catania,<undefined>,Sicily Region,Italy,2021-06-21,137.79,130.04
city,Catania,<undefined>,Sicily Region,Italy,2021-06-22,147.41,131.31
city,Catania,<undefined>,Sicily Region,Italy,2021-06-23,147.74,135
city,Catania,<undefined>,Sicily Region,Italy,2021-06-24,155.12,155.62
city,Catania,<undefined>,Sicily Region,Italy,2021-06-25,158.39,152.83
city,Catania,<undefined>,Sicily Region,Italy,2021-06-26,149.83,141.59
city,Catania,<undefined>,Sicily Region,Italy,2021-06-27,160.26,119.02
