geo_type,name,alternative_name,region,country,date,driving,walking
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-03-17,13.87,17.03
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-03-18,13.99,16.61
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-03-19,14.41,19.05
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-03-20,14.67,19.21
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-03-21,12.49,15.65
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-03-22,11.3,14.12
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-03-23,13.89,16.61
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-03-24,13.92,15.89
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-03-25,13.38,16.21
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-03-26,14.26,18.57
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-03-27,13.71,18.15
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-03-28,13.17,17.88
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-03-29,12.77,12.74
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-03-30,13.97,16.82
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-03-31,14.6,18.28
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-04-01,16.63,20.01
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-04-02,16.52,17.83
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-04-03,16.04,21.33
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-04-04,14.42,17.91
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-04-05,14.13,18.12
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-04-06,15.61,19.79
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-04-07,16.96,21.57
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-04-08,18.49,27.06
sub-region,Autonomous Region Trentino-Alto Adige/Südtirol,Trentino Alto Adige,<undefined>,Italy,2020-04-09,19.74,25.71
